Time,Temperature(C),Humidity(%RH),MAC Address 
2023-05-17 00:00:00,19.55,25.56,49:22:07:07:16:35
2023-05-17 00:30:00,19.58,25.07,
2023-05-17 01:00:00,19.6,24.58,
2023-05-17 01:30:00,19.63,24.09,
2023-05-17 02:00:00,19.66,23.59,
2023-05-17 02:30:00,19.66,23.12,
2023-05-17 03:00:00,19.64,22.87,
2023-05-17 03:30:00,19.61,22.61,
2023-05-17 04:00:00,19.58,22.35,
2023-05-17 04:30:00,19.56,22.1,
2023-05-17 05:00:00,19.53,21.84,
2023-05-17 05:30:00,19.5,21.58,
2023-05-17 06:00:00,19.48,21.33,
2023-05-17 06:30:00,19.45,21.07,
2023-05-17 07:00:00,19.42,20.81,
2023-05-17 07:30:00,19.61,20.81,
2023-05-17 08:00:00,19.6,20.61,
2023-05-17 08:30:00,19.58,20.41,
2023-05-17 09:00:00,19.56,20.2,
2023-05-17 09:30:00,19.54,20,
2023-05-17 10:00:00,19.53,19.79,
2023-05-17 10:30:00,19.51,19.59,
2023-05-17 11:00:00,19.49,19.38,
2023-05-17 11:30:00,19.47,19.18,
2023-05-17 12:00:00,19.45,18.97,
2023-05-17 12:30:00,19.2,19.43,
2023-05-17 13:00:00,19.23,19.29,
2023-05-17 13:30:00,19.26,19.15,
2023-05-17 14:00:00,19.29,19,
2023-05-17 14:30:00,19.32,18.86,
2023-05-17 15:00:00,19.36,18.72,
2023-05-17 15:30:00,19.39,18.57,
2023-05-17 16:00:00,19.42,18.43,
2023-05-17 16:30:00,19.45,18.29,
2023-05-17 17:00:00,19.49,18.14,
2023-05-17 17:30:00,19.24,18.15,
2023-05-17 18:00:00,19.26,18.66,
2023-05-17 18:30:00,19.29,19.18,
2023-05-17 19:00:00,19.31,19.69,
2023-05-17 19:30:00,19.34,20.21,
2023-05-17 20:00:00,19.36,20.72,
2023-05-17 20:30:00,19.39,21.24,
2023-05-17 21:00:00,19.41,21.75,
2023-05-17 21:30:00,19.44,22.27,
2023-05-17 22:00:00,19.47,22.79,
2023-05-17 22:30:00,19.48,23.08,
2023-05-17 23:00:00,19.47,23.39,
2023-05-17 23:30:00,19.45,23.7,
2023-05-18 00:00:00,19.43,24.01,
2023-05-18 00:30:00,19.42,24.32,
2023-05-18 01:00:00,19.4,24.63,
2023-05-18 01:30:00,19.38,24.94,
2023-05-18 02:00:00,19.37,25.25,
2023-05-18 02:30:00,19.35,25.56,
2023-05-18 03:00:00,19.33,25.87,
2023-05-18 03:30:00,19.3,25.46,
2023-05-18 04:00:00,19.48,25.25,
2023-05-18 04:30:00,19.66,25.04,
2023-05-18 05:00:00,19.84,24.82,
2023-05-18 05:30:00,20.02,24.61,
2023-05-18 06:00:00,20.2,24.39,
2023-05-18 06:30:00,20.38,24.18,
2023-05-18 07:00:00,20.56,23.96,
2023-05-18 07:30:00,20.74,23.75,
2023-05-18 08:00:00,20.93,23.53,
2023-05-18 08:30:00,22.16,24.1,
2023-05-18 09:00:00,21.94,23.77,
2023-05-18 09:30:00,21.72,23.44,
2023-05-18 10:00:00,21.5,23.1,
2023-05-18 10:30:00,21.28,22.77,
2023-05-18 11:00:00,21.06,22.44,
2023-05-18 11:30:00,20.84,22.1,
2023-05-18 12:00:00,20.62,21.77,
2023-05-18 12:30:00,20.4,21.44,
2023-05-18 13:00:00,20.17,21.1,
2023-05-18 13:30:00,20.42,21.75,
2023-05-18 14:00:00,20.39,22.09,
2023-05-18 14:30:00,20.36,22.43,
2023-05-18 15:00:00,20.33,22.78,
2023-05-18 15:30:00,20.3,23.12,
2023-05-18 16:00:00,20.27,23.46,
2023-05-18 16:30:00,20.24,23.81,
2023-05-18 17:00:00,20.21,24.15,
2023-05-18 17:30:00,20.18,24.49,
2023-05-18 18:00:00,20.14,24.84,
2023-05-18 18:30:00,20.17,25.83,
2023-05-18 19:00:00,20.19,25.72,
2023-05-18 19:30:00,20.22,25.61,
2023-05-18 20:00:00,20.25,25.49,
2023-05-18 20:30:00,20.28,25.38,
2023-05-18 21:00:00,20.3,25.26,
2023-05-18 21:30:00,20.33,25.15,
2023-05-18 22:00:00,20.36,25.03,
2023-05-18 22:30:00,20.39,24.92,
2023-05-18 23:00:00,20.42,24.8,
2023-05-18 23:30:00,20.36,24.82,
2023-05-19 00:00:00,20.34,24.92,
2023-05-19 00:30:00,20.31,25.03,
2023-05-19 01:00:00,20.28,25.14,
2023-05-19 01:30:00,20.26,25.25,
2023-05-19 02:00:00,20.23,25.35,
2023-05-19 02:30:00,20.2,25.46,
2023-05-19 03:00:00,20.18,25.57,
2023-05-19 03:30:00,20.15,25.68,
2023-05-19 04:00:00,20.12,25.79,
2023-05-19 04:30:00,20.42,25.54,
2023-05-19 05:00:00,20.4,26.62,
2023-05-19 05:30:00,20.37,27.71,
2023-05-19 06:00:00,20.34,28.8,
2023-05-19 06:30:00,20.31,29.89,
2023-05-19 07:00:00,20.29,30.97,
2023-05-19 07:30:00,20.26,32.06,
2023-05-19 08:00:00,20.23,33.15,
2023-05-19 08:30:00,20.2,34.24,
2023-05-19 09:00:00,20.17,35.33,
2023-05-19 09:30:00,20.42,36.33,
2023-05-19 10:00:00,20.4,37.16,
2023-05-19 10:30:00,20.37,37.99,
2023-05-19 11:00:00,20.34,38.82,
2023-05-19 11:30:00,20.31,39.65,
2023-05-19 12:00:00,20.29,40.48,
2023-05-19 12:30:00,20.26,41.31,
2023-05-19 13:00:00,20.23,42.14,
2023-05-19 13:30:00,20.2,42.97,
2023-05-19 14:00:00,20.17,43.81,
2023-05-19 14:30:00,20.17,44.27,
2023-05-19 15:00:00,20.19,44.74,
2023-05-19 15:30:00,20.22,45.21,
2023-05-19 16:00:00,20.25,45.68,
2023-05-19 16:30:00,20.28,46.15,
2023-05-19 17:00:00,20.3,46.62,
2023-05-19 17:30:00,20.33,47.09,
2023-05-19 18:00:00,20.36,47.56,
2023-05-19 18:30:00,20.39,48.03,
2023-05-19 19:00:00,20.42,48.51,
2023-05-19 19:30:00,20.04,49.09,
2023-05-19 20:00:00,20.08,49.57,
2023-05-19 20:30:00,20.12,50.05,
2023-05-19 21:00:00,20.16,50.53,
2023-05-19 21:30:00,20.2,51.01,
2023-05-19 22:00:00,20.25,51.49,
2023-05-19 22:30:00,20.29,51.97,
2023-05-19 23:00:00,20.33,52.45,
2023-05-19 23:30:00,20.37,52.93,
2023-05-20 00:00:00,20.42,53.41,
2023-05-20 00:30:00,20.3,53.8,
2023-05-20 01:00:00,20.29,53.88,
2023-05-20 01:30:00,20.28,53.96,
2023-05-20 02:00:00,20.26,54.04,
2023-05-20 02:30:00,20.25,54.12,
2023-05-20 03:00:00,20.23,54.21,
2023-05-20 03:30:00,20.22,54.29,
2023-05-20 04:00:00,20.2,54.37,
2023-05-20 04:30:00,20.19,54.45,
2023-05-20 05:00:00,20.17,54.54,
2023-05-20 05:30:00,20.3,52.27,
2023-05-20 06:00:00,20.28,52.65,
2023-05-20 06:30:00,20.25,53.03,
2023-05-20 07:00:00,20.22,53.42,
2023-05-20 07:30:00,20.19,53.8,
2023-05-20 08:00:00,20.16,54.18,
2023-05-20 08:30:00,20.13,54.57,
2023-05-20 09:00:00,20.1,54.95,
2023-05-20 09:30:00,20.07,55.33,
2023-05-20 10:00:00,20.04,55.72,
2023-05-20 10:30:00,20.42,81.33,
2023-05-20 11:00:00,20.35,78.58,
2023-05-20 11:30:00,20.27,75.83,
2023-05-20 12:00:00,20.19,73.08,
2023-05-20 12:30:00,20.12,70.33,
2023-05-20 13:00:00,20.04,67.57,
2023-05-20 13:30:00,19.96,64.82,
2023-05-20 14:00:00,19.89,62.07,
2023-05-20 14:30:00,19.81,59.32,
2023-05-20 15:00:00,19.73,56.56,
2023-05-20 15:30:00,19.98,81.46,
2023-05-20 16:00:00,19.96,81.69,
2023-05-20 16:30:00,19.94,81.93,
2023-05-20 17:00:00,19.92,82.17,
2023-05-20 17:30:00,19.9,82.41,
2023-05-20 18:00:00,19.88,82.65,
2023-05-20 18:30:00,19.86,82.89,
2023-05-20 19:00:00,19.84,83.13,
2023-05-20 19:30:00,19.82,83.37,
2023-05-20 20:00:00,19.8,83.61,
2023-05-20 20:30:00,19.91,82.31,
2023-05-20 21:00:00,19.93,82.6,
2023-05-20 21:30:00,19.96,82.89,
2023-05-20 22:00:00,19.98,83.18,
2023-05-20 22:30:00,20.01,83.47,
2023-05-20 23:00:00,20.03,83.76,
2023-05-20 23:30:00,20.06,84.05,
2023-05-21 00:00:00,20.08,84.34,
2023-05-21 00:30:00,20.11,84.63,
2023-05-21 01:00:00,20.14,84.93,
2023-05-21 01:30:00,19.91,85.28,
2023-05-21 02:00:00,19.93,85.01,
2023-05-21 02:30:00,19.95,84.73,
2023-05-21 03:00:00,19.97,84.45,
2023-05-21 03:30:00,19.99,84.17,
2023-05-21 04:00:00,20.01,83.9,
2023-05-21 04:30:00,20.03,83.62,
2023-05-21 05:00:00,20.05,83.34,
2023-05-21 05:30:00,20.07,83.06,
2023-05-21 06:00:00,20.1,82.78,
2023-05-21 06:30:00,19.92,84.27,
2023-05-21 07:00:00,19.98,83.83,
2023-05-21 07:30:00,20.05,83.39,
2023-05-21 08:00:00,20.12,82.95,
2023-05-21 08:30:00,20.19,82.51,
2023-05-21 09:00:00,20.26,82.07,
2023-05-21 09:30:00,20.33,81.63,
2023-05-21 10:00:00,20.4,81.19,
2023-05-21 10:30:00,20.47,80.75,
2023-05-21 11:00:00,20.54,80.31,
2023-05-21 11:30:00,20.3,83.37,
2023-05-21 12:00:00,20.28,83.1,
2023-05-21 12:30:00,20.25,82.82,
2023-05-21 13:00:00,20.22,82.54,
2023-05-21 13:30:00,20.19,82.26,
2023-05-21 14:00:00,20.16,81.99,
2023-05-21 14:30:00,20.13,81.71,
2023-05-21 15:00:00,20.1,81.43,
2023-05-21 15:30:00,20.07,81.15,
2023-05-21 16:00:00,20.04,80.87,
2023-05-21 16:30:00,20.17,80.47,
2023-05-21 17:00:00,20.19,80.81,
2023-05-21 17:30:00,20.22,81.15,
2023-05-21 18:00:00,20.25,81.5,
2023-05-21 18:30:00,20.28,81.84,
2023-05-21 19:00:00,20.3,82.18,
2023-05-21 19:30:00,20.33,82.53,
2023-05-21 20:00:00,20.36,82.87,
2023-05-21 20:30:00,20.39,83.21,
2023-05-21 21:00:00,20.42,83.56,
2023-05-21 21:30:00,20.3,81.64,
2023-05-21 22:00:00,20.29,81.87,
2023-05-21 22:30:00,20.28,82.11,
2023-05-21 23:00:00,20.26,82.35,
2023-05-21 23:30:00,20.25,82.59,
2023-05-22 00:00:00,20.23,82.83,
2023-05-22 00:30:00,20.22,83.07,
2023-05-22 01:00:00,20.2,83.31,
2023-05-22 01:30:00,20.19,83.55,
2023-05-22 02:00:00,20.17,83.79,
2023-05-22 02:30:00,20.43,84.58,
2023-05-22 03:00:00,20.41,84.09,
2023-05-22 03:30:00,20.38,83.59,
2023-05-22 04:00:00,20.35,83.09,
2023-05-22 04:30:00,20.32,82.59,
2023-05-22 05:00:00,20.29,82.09,
2023-05-22 05:30:00,20.26,81.59,
2023-05-22 06:00:00,20.23,81.09,
2023-05-22 06:30:00,20.2,80.59,
2023-05-22 07:00:00,20.17,80.09,
2023-05-22 07:30:00,20.44,69.56,
2023-05-22 08:00:00,20.41,70.82,
2023-05-22 08:30:00,20.38,72.08,
2023-05-22 09:00:00,20.35,73.35,
2023-05-22 09:30:00,20.32,74.61,
2023-05-22 10:00:00,20.29,75.88,
2023-05-22 10:30:00,20.26,77.14,
2023-05-22 11:00:00,20.23,78.41,
2023-05-22 11:30:00,20.2,79.67,
2023-05-22 12:00:00,20.17,80.94,
2023-05-22 12:30:00,20.3,45.32,
2023-05-22 13:00:00,20.28,49.01,
2023-05-22 13:30:00,20.26,52.7,
2023-05-22 14:00:00,20.24,56.39,
2023-05-22 14:30:00,20.22,60.08,
2023-05-22 15:00:00,20.2,63.78,
2023-05-22 15:30:00,20.18,67.47,
2023-05-22 16:00:00,20.16,71.16,
2023-05-22 16:30:00,20.14,74.85,
2023-05-22 17:00:00,20.11,78.55,
2023-05-22 17:30:00,19.92,38.78,
2023-05-22 18:00:00,19.94,39.28,
2023-05-22 18:30:00,19.97,39.79,
2023-05-22 19:00:00,20,40.3,
2023-05-22 19:30:00,20.03,40.8,
2023-05-22 20:00:00,20.06,41.31,
2023-05-22 20:30:00,20.09,41.82,
2023-05-22 21:00:00,20.12,42.32,
2023-05-22 21:30:00,20.15,42.83,
2023-05-22 22:00:00,20.18,43.34,
2023-05-22 22:30:00,19.98,44.21,
2023-05-22 23:00:00,20,44.44,
2023-05-22 23:30:00,20.03,44.68,
2023-05-23 00:00:00,20.06,44.92,
2023-05-23 00:30:00,20.09,45.15,
2023-05-23 01:00:00,20.11,45.39,
2023-05-23 01:30:00,20.14,45.63,
2023-05-23 02:00:00,20.17,45.86,
2023-05-23 02:30:00,20.2,46.1,
2023-05-23 03:00:00,20.23,46.34,
2023-05-23 03:30:00,20.23,45.12,
2023-05-23 04:00:00,20.21,44.59,
2023-05-23 04:30:00,20.19,44.06,
2023-05-23 05:00:00,20.16,43.52,
2023-05-23 05:30:00,20.14,42.99,
2023-05-23 06:00:00,20.12,42.45,
2023-05-23 06:30:00,20.09,41.92,
2023-05-23 07:00:00,20.07,41.38,
2023-05-23 07:30:00,20.05,40.85,
2023-05-23 08:00:00,20.02,40.31,
2023-05-23 08:30:00,19.98,39.4,
2023-05-23 09:00:00,20,39.15,
2023-05-23 09:30:00,20.02,38.9,
2023-05-23 10:00:00,20.05,38.64,
2023-05-23 10:30:00,20.07,38.39,
2023-05-23 11:00:00,20.09,38.13,
2023-05-23 11:30:00,20.12,37.88,
2023-05-23 12:00:00,20.14,37.62,
2023-05-23 12:30:00,20.16,37.37,
2023-05-23 13:00:00,20.19,37.11,
2023-05-23 13:30:00,20.19,39.1,
2023-05-23 14:00:00,20.17,39.38,
2023-05-23 14:30:00,20.14,39.67,
2023-05-23 15:00:00,20.11,39.96,
2023-05-23 15:30:00,20.08,40.25,
2023-05-23 16:00:00,20.06,40.54,
2023-05-23 16:30:00,20.03,40.83,
2023-05-23 17:00:00,20,41.12,
2023-05-23 17:30:00,19.97,41.41,
2023-05-23 18:00:00,19.94,41.7,
2023-05-23 18:30:00,19.91,42.89,
2023-05-23 19:00:00,19.94,42.6,
2023-05-23 19:30:00,19.98,42.31,
2023-05-23 20:00:00,20.01,42.02,
2023-05-23 20:30:00,20.05,41.73,
2023-05-23 21:00:00,20.08,41.43,
2023-05-23 21:30:00,20.12,41.14,
2023-05-23 22:00:00,20.15,40.85,
2023-05-23 22:30:00,20.19,40.56,
2023-05-23 23:00:00,20.23,40.26,
2023-05-23 23:30:00,19.91,41.68,
2023-05-24 00:00:00,19.93,42.41,
2023-05-24 00:30:00,19.96,43.14,
2023-05-24 01:00:00,19.99,43.88,
2023-05-24 01:30:00,20.02,44.61,
2023-05-24 02:00:00,20.05,45.34,
2023-05-24 02:30:00,20.08,46.08,
2023-05-24 03:00:00,20.11,46.81,
2023-05-24 03:30:00,20.14,47.54,
2023-05-24 04:00:00,20.17,48.28,
2023-05-24 04:30:00,20.02,55.76,
2023-05-24 05:00:00,20.03,54.96,
2023-05-24 05:30:00,20.05,54.16,
2023-05-24 06:00:00,20.07,53.36,
2023-05-24 06:30:00,20.08,52.56,
2023-05-24 07:00:00,20.1,51.75,
2023-05-24 07:30:00,20.12,50.95,
2023-05-24 08:00:00,20.13,50.15,
2023-05-24 08:30:00,20.15,49.35,
2023-05-24 09:00:00,20.17,48.54,
2023-05-24 09:30:00,20.17,48.43,
2023-05-24 10:00:00,20.15,50.73,
2023-05-24 10:30:00,20.12,53.03,
2023-05-24 11:00:00,20.09,55.34,
2023-05-24 11:30:00,20.06,57.64,
2023-05-24 12:00:00,20.03,59.95,
2023-05-24 12:30:00,20,62.25,
2023-05-24 13:00:00,19.97,64.56,
2023-05-24 13:30:00,19.94,66.86,
2023-05-24 14:00:00,19.91,69.17,
2023-05-24 14:30:00,19.91,70.77,
2023-05-24 15:00:00,19.92,71,
2023-05-24 15:30:00,19.93,71.23,
2023-05-24 16:00:00,19.95,71.47,
2023-05-24 16:30:00,19.96,71.7,
2023-05-24 17:00:00,19.98,71.93,
2023-05-24 17:30:00,19.99,72.17,
2023-05-24 18:00:00,20.01,72.4,
2023-05-24 18:30:00,20.02,72.63,
2023-05-24 19:00:00,20.04,72.87,
2023-05-24 19:30:00,20.11,72.65,
2023-05-24 20:00:00,20.09,72.77,
2023-05-24 20:30:00,20.07,72.89,
2023-05-24 21:00:00,20.05,73.01,
2023-05-24 21:30:00,20.03,73.13,
2023-05-24 22:00:00,20,73.26,
2023-05-24 22:30:00,19.98,73.38,
2023-05-24 23:00:00,19.96,73.5,
2023-05-24 23:30:00,19.94,73.62,
2023-05-25 00:00:00,19.91,73.75,
2023-05-25 00:30:00,20.18,73.04,
2023-05-25 01:00:00,20.16,73.08,
2023-05-25 01:30:00,20.13,73.12,
2023-05-25 02:00:00,20.1,73.16,
2023-05-25 02:30:00,20.08,73.2,
2023-05-25 03:00:00,20.05,73.24,
2023-05-25 03:30:00,20.02,73.28,
2023-05-25 04:00:00,20,73.32,
2023-05-25 04:30:00,19.97,73.36,
2023-05-25 05:00:00,19.94,73.41,
2023-05-25 05:30:00,19.92,73.04,
2023-05-25 06:00:00,19.94,73.16,
2023-05-25 06:30:00,19.97,73.28,
2023-05-25 07:00:00,20,73.41,
2023-05-25 07:30:00,20.03,73.53,
2023-05-25 08:00:00,20.05,73.65,
2023-05-25 08:30:00,20.08,73.78,
2023-05-25 09:00:00,20.11,73.9,
2023-05-25 09:30:00,20.14,74.02,
2023-05-25 10:00:00,20.17,74.15,
2023-05-25 10:30:00,20.04,73.33,
2023-05-25 11:00:00,20.03,73.25,
2023-05-25 11:30:00,20.01,73.16,
2023-05-25 12:00:00,19.99,73.08,
2023-05-25 12:30:00,19.98,72.99,
2023-05-25 13:00:00,19.96,72.91,
2023-05-25 13:30:00,19.94,72.82,
2023-05-25 14:00:00,19.93,72.74,
2023-05-25 14:30:00,19.91,72.65,
2023-05-25 15:00:00,19.89,72.56,
2023-05-25 15:30:00,19.89,72.95,
2023-05-25 16:00:00,19.9,72.79,
2023-05-25 16:30:00,19.92,72.62,
2023-05-25 17:00:00,19.94,72.45,
2023-05-25 17:30:00,19.95,72.29,
2023-05-25 18:00:00,19.97,72.12,
2023-05-25 18:30:00,19.99,71.95,
2023-05-25 19:00:00,20,71.79,
2023-05-25 19:30:00,20.02,71.62,
2023-05-25 20:00:00,20.04,71.45,
2023-05-25 20:30:00,20.04,73.56,
2023-05-25 21:00:00,20.04,73.46,
2023-05-25 21:30:00,20.03,73.35,
2023-05-25 22:00:00,20.02,73.24,
2023-05-25 22:30:00,20.02,73.13,
2023-05-25 23:00:00,20.01,73.02,
2023-05-25 23:30:00,20,72.91,
2023-05-26 00:00:00,20,72.8,
2023-05-26 00:30:00,19.99,72.69,
2023-05-26 01:00:00,19.98,72.58,
2023-05-26 01:30:00,20.17,72.7,
2023-05-26 02:00:00,20.15,72.43,
2023-05-26 02:30:00,20.13,72.16,
2023-05-26 03:00:00,20.11,71.89,
2023-05-26 03:30:00,20.09,71.62,
2023-05-26 04:00:00,20.07,71.35,
2023-05-26 04:30:00,20.05,71.08,
2023-05-26 05:00:00,20.03,70.81,
2023-05-26 05:30:00,20.01,70.54,
2023-05-26 06:00:00,19.98,70.27,
2023-05-26 06:30:00,19.86,70.19,
2023-05-26 07:00:00,19.89,69.65,
2023-05-26 07:30:00,19.92,69.1,
2023-05-26 08:00:00,19.96,68.55,
2023-05-26 08:30:00,19.99,68,
2023-05-26 09:00:00,20.03,67.46,
2023-05-26 09:30:00,20.06,66.91,
2023-05-26 10:00:00,20.1,66.36,
2023-05-26 10:30:00,20.13,65.81,
2023-05-26 11:00:00,20.17,65.26,
2023-05-26 11:30:00,19.8,64.2,
2023-05-26 12:00:00,19.82,64.62,
2023-05-26 12:30:00,19.84,65.04,
2023-05-26 13:00:00,19.86,65.46,
2023-05-26 13:30:00,19.88,65.88,
2023-05-26 14:00:00,19.9,66.3,
2023-05-26 14:30:00,19.92,66.72,
2023-05-26 15:00:00,19.94,67.14,
2023-05-26 15:30:00,19.96,67.56,
2023-05-26 16:00:00,19.98,67.99,
2023-05-26 16:30:00,20.02,62.26,
2023-05-26 17:00:00,20.01,62.65,
2023-05-26 17:30:00,19.99,63.04,
2023-05-26 18:00:00,19.97,63.44,
2023-05-26 18:30:00,19.96,63.83,
2023-05-26 19:00:00,19.94,64.23,
2023-05-26 19:30:00,19.92,64.62,
2023-05-26 20:00:00,19.91,65.02,
2023-05-26 20:30:00,19.89,65.41,
2023-05-26 21:00:00,19.87,65.81,
2023-05-26 21:30:00,19.91,65.48,
2023-05-26 22:00:00,19.92,65.59,
2023-05-26 22:30:00,19.93,65.7,
2023-05-26 23:00:00,19.95,65.81,
2023-05-26 23:30:00,19.96,65.92,
2023-05-27 00:00:00,19.98,66.04,
2023-05-27 00:30:00,19.99,66.15,
2023-05-27 01:00:00,20.01,66.26,
2023-05-27 01:30:00,20.02,66.37,
2023-05-27 02:00:00,20.04,66.49,
2023-05-27 02:30:00,19.91,65.03,
2023-05-27 03:00:00,19.93,65.19,
2023-05-27 03:30:00,19.96,65.35,
2023-05-27 04:00:00,19.99,65.51,
2023-05-27 04:30:00,20.02,65.67,
2023-05-27 05:00:00,20.05,65.83,
2023-05-27 05:30:00,20.08,65.99,
2023-05-27 06:00:00,20.11,66.15,
2023-05-27 06:30:00,20.14,66.31,
2023-05-27 07:00:00,20.17,66.47,
2023-05-27 07:30:00,20.04,74.04,
2023-05-27 08:00:00,20.01,72.8,
2023-05-27 08:30:00,19.98,71.56,
2023-05-27 09:00:00,19.94,70.32,
2023-05-27 09:30:00,19.91,69.08,
2023-05-27 10:00:00,19.87,67.83,
2023-05-27 10:30:00,19.84,66.59,
2023-05-27 11:00:00,19.8,65.35,
2023-05-27 11:30:00,19.77,64.11,
2023-05-27 12:00:00,19.73,62.86,
2023-05-27 12:30:00,19.8,76,
2023-05-27 13:00:00,19.81,76.25,
2023-05-27 13:30:00,19.83,76.5,
2023-05-27 14:00:00,19.85,76.75,
2023-05-27 14:30:00,19.87,77,
2023-05-27 15:00:00,19.89,77.26,
2023-05-27 15:30:00,19.91,77.51,
2023-05-27 16:00:00,19.93,77.76,
2023-05-27 16:30:00,19.95,78.01,
2023-05-27 17:00:00,19.97,78.27,
2023-05-27 17:30:00,19.89,78.43,
2023-05-27 18:00:00,19.93,78.8,
2023-05-27 18:30:00,19.98,79.17,
2023-05-27 19:00:00,20.02,79.54,
2023-05-27 19:30:00,20.07,79.91,
2023-05-27 20:00:00,20.11,80.29,
2023-05-27 20:30:00,20.16,80.66,
2023-05-27 21:00:00,20.2,81.03,
2023-05-27 21:30:00,20.25,81.4,
2023-05-27 22:00:00,20.3,81.78,
2023-05-27 22:30:00,20.14,81.19,
2023-05-27 23:00:00,20.17,81.35,
2023-05-27 23:30:00,20.2,81.51,
2023-05-28 00:00:00,20.23,81.68,
2023-05-28 00:30:00,20.26,81.84,
2023-05-28 01:00:00,20.29,82.01,
2023-05-28 01:30:00,20.32,82.17,
2023-05-28 02:00:00,20.35,82.34,
2023-05-28 02:30:00,20.38,82.5,
2023-05-28 03:00:00,20.42,82.67,
2023-05-28 03:30:00,20.42,83.08,
2023-05-28 04:00:00,20.4,82.82,
2023-05-28 04:30:00,20.37,82.55,
2023-05-28 05:00:00,20.34,82.28,
2023-05-28 05:30:00,20.31,82.01,
2023-05-28 06:00:00,20.29,81.74,
2023-05-28 06:30:00,20.26,81.47,
2023-05-28 07:00:00,20.23,81.2,
2023-05-28 07:30:00,20.2,80.93,
2023-05-28 08:00:00,20.17,80.66,
2023-05-28 08:30:00,19.98,80.79,
2023-05-28 09:00:00,20,80.95,
2023-05-28 09:30:00,20.02,81.11,
2023-05-28 10:00:00,20.05,81.27,
2023-05-28 10:30:00,20.07,81.43,
2023-05-28 11:00:00,20.09,81.6,
2023-05-28 11:30:00,20.12,81.76,
2023-05-28 12:00:00,20.14,81.92,
2023-05-28 12:30:00,20.16,82.08,
2023-05-28 13:00:00,20.19,82.25,
2023-05-28 13:30:00,20.17,81.33,
2023-05-28 14:00:00,20.15,81.18,
2023-05-28 14:30:00,20.13,81.02,
2023-05-28 15:00:00,20.11,80.86,
2023-05-28 15:30:00,20.09,80.7,
2023-05-28 16:00:00,20.07,80.54,
2023-05-28 16:30:00,20.05,80.38,
2023-05-28 17:00:00,20.03,80.22,
2023-05-28 17:30:00,20.01,80.06,
2023-05-28 18:00:00,19.98,79.9,
2023-05-28 18:30:00,19.94,80.63,
2023-05-28 19:00:00,19.98,81,
2023-05-28 19:30:00,20.03,81.37,
2023-05-28 20:00:00,20.08,81.74,
2023-05-28 20:30:00,20.12,82.11,
2023-05-28 21:00:00,20.17,82.48,
2023-05-28 21:30:00,20.22,82.85,
2023-05-28 22:00:00,20.26,83.22,
2023-05-28 22:30:00,20.31,83.59,
2023-05-28 23:00:00,20.36,83.96,
2023-05-28 23:30:00,20.07,81.15,
2023-05-29 00:00:00,20.1,81.02,
2023-05-29 00:30:00,20.14,80.89,
2023-05-29 01:00:00,20.18,80.75,
2023-05-29 01:30:00,20.22,80.62,
2023-05-29 02:00:00,20.26,80.48,
2023-05-29 02:30:00,20.3,80.35,
2023-05-29 03:00:00,20.34,80.21,
2023-05-29 03:30:00,20.38,80.08,
2023-05-29 04:00:00,20.42,79.94,
2023-05-29 04:30:00,20.42,81.12,
2023-05-29 05:00:00,20.4,80.27,
2023-05-29 05:30:00,20.37,79.42,
2023-05-29 06:00:00,20.34,78.56,
2023-05-29 06:30:00,20.31,77.71,
2023-05-29 07:00:00,20.29,76.86,
2023-05-29 07:30:00,20.26,76,
2023-05-29 08:00:00,20.23,75.15,
2023-05-29 08:30:00,20.2,74.3,
2023-05-29 09:00:00,20.17,73.44,
2023-05-29 09:30:00,20.17,79.1,
2023-05-29 10:00:00,20.19,78.08,
2023-05-29 10:30:00,20.22,77.06,
2023-05-29 11:00:00,20.25,76.04,
2023-05-29 11:30:00,20.28,75.02,
2023-05-29 12:00:00,20.3,74,
2023-05-29 12:30:00,20.33,72.98,
2023-05-29 13:00:00,20.36,71.96,
2023-05-29 13:30:00,20.39,70.94,
2023-05-29 14:00:00,20.42,69.92,
2023-05-29 14:30:00,20.42,71.62,
2023-05-29 15:00:00,20.4,71.89,
2023-05-29 15:30:00,20.37,72.16,
2023-05-29 16:00:00,20.34,72.43,
2023-05-29 16:30:00,20.32,72.7,
2023-05-29 17:00:00,20.29,72.97,
2023-05-29 17:30:00,20.26,73.24,
2023-05-29 18:00:00,20.24,73.51,
2023-05-29 18:30:00,20.21,73.78,
2023-05-29 19:00:00,20.18,74.05,
2023-05-29 19:30:00,20.17,74.05,
2023-05-29 20:00:00,20.19,74.21,
2023-05-29 20:30:00,20.22,74.38,
2023-05-29 21:00:00,20.25,74.55,
2023-05-29 21:30:00,20.28,74.71,
2023-05-29 22:00:00,20.3,74.88,
2023-05-29 22:30:00,20.33,75.05,
2023-05-29 23:00:00,20.36,75.21,
2023-05-29 23:30:00,20.39,75.38,
2023-05-30 00:00:00,20.42,75.55,
2023-05-30 00:30:00,20.18,73.78,
2023-05-30 01:00:00,20.2,74.09,
2023-05-30 01:30:00,20.23,74.4,
2023-05-30 02:00:00,20.26,74.72,
2023-05-30 02:30:00,20.28,75.03,
2023-05-30 03:00:00,20.31,75.35,
2023-05-30 03:30:00,20.34,75.66,
2023-05-30 04:00:00,20.36,75.98,
2023-05-30 04:30:00,20.39,76.29,
2023-05-30 05:00:00,20.42,76.61,
2023-05-30 05:30:00,20.3,73.78,
